Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
logintest1,Chrome 69.0.3497.92,,2018-09-18 10:55:48,2018-09-18 10:56:21,32.675s,INCOMPLETE
,,,,,,
Test Cases/nc_bo_login-test,Chrome 69.0.3497.92,Nc data login test,2018-09-18 10:55:49,2018-09-18 10:56:11,21.968s,PASSED
openBrowser,Chrome 69.0.3497.92,,2018-09-18 10:55:49,2018-09-18 10:55:57,8.040s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-18 10:55:57,2018-09-18 10:55:59,2.292s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-18 10:55:59,2018-09-18 10:56:04,4.654s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-18 10:56:04,2018-09-18 10:56:04,0.114s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-18 10:56:04,2018-09-18 10:56:04,0.143s,PASSED
click,Chrome 69.0.3497.92,,2018-09-18 10:56:04,2018-09-18 10:56:07,2.652s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-18 10:56:07,2018-09-18 10:56:10,3.016s,PASSED
verifyElementNotPresent,Chrome 69.0.3497.92,,2018-09-18 10:56:10,2018-09-18 10:56:10,0.123s,PASSED
closeBrowser,Chrome 69.0.3497.92,,2018-09-18 10:56:10,2018-09-18 10:56:11,0.565s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Chrome 69.0.3497.92,Nc data login test,2018-09-18 10:56:11,2018-09-18 10:56:21,10.366s,INCOMPLETE
openBrowser,Chrome 69.0.3497.92,,2018-09-18 10:56:11,2018-09-18 10:56:15,4.672s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-18 10:56:15,2018-09-18 10:56:17,2.256s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-18 10:56:17,2018-09-18 10:56:21,3.170s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-18 10:56:21,2018-09-18 10:56:21,0.099s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-18 10:56:21,2018-09-18 10:56:21,0.105s,PASSED
click,Chrome 69.0.3497.92,,2018-09-18 10:56:21,2018-09-18 10:56:21,0.021s,INCOMPLETE
